,LATITUD,LONGITUD
4246,-101.2149448,-101.2149448
4247,-101.1932976,-101.1932976
4248,-101.1932976,-101.1932976
4249,-101.1932976,-101.1932976
4250,-101.1932976,-101.1932976
4251,-101.1932976,-101.1932976
4252,-101.1932976,-101.1932976
4253,-101.1932976,-101.1932976
4254,-100.1473214,-100.1473214
4255,-100.1473214,-100.1473214
4256,-100.1473214,-100.1473214
4257,-100.1473214,-100.1473214
4258,-100.1473214,-100.1473214
4259,-100.1473214,-100.1473214
4260,-100.1473214,-100.1473214
4261,-100.1473214,-100.1473214
4262,-100.1473214,-100.1473214
4263,-100.1473214,-100.1473214
4264,-100.1473214,-100.1473214
4265,-100.1473214,-100.1473214
4266,-100.1473214,-100.1473214
4267,-100.1473214,-100.1473214
4268,-100.1473214,-100.1473214
4269,-100.1473214,-100.1473214
4270,-100.1473214,-100.1473214
4271,-100.1473214,-100.1473214
4272,-100.1473214,-100.1473214
4273,-100.1473463,-100.1473463
4276,-100.1473214,-100.1473214
4277,-100.1473463,-100.1473463
4278,-100.1473214,-100.1473214
4281,-100.1473463,-100.1473463
4282,-100.1473463,-100.1473463
4283,-101.1932976,-101.1932976
4320,-100.1473393,-100.1473393
4321,-100.1473393,-100.1473393
4322,-100.1473463,-100.1473463
4325,-100.1473393,-100.1473393
4326,-100.1473393,-100.1473393
4327,-100.1473393,-100.1473393
4328,-100.1473393,-100.1473393
4329,-100.1473393,-100.1473393
4330,-100.4419617,-100.4419617
4331,-100.1473393,-100.1473393
4332,-100.4419603,-100.4419603
4333,-100.1473393,-100.1473393
4334,-100.1473393,-100.1473393
4335,-100.4419603,-100.4419603
4336,-100.1473393,-100.1473393
4337,-100.4419603,-100.4419603
4338,-100.4419603,-100.4419603
4339,-100.4419603,-100.4419603
4340,-100.4419603,-100.4419603
4341,-100.4419603,-100.4419603
4342,-100.4419603,-100.4419603
4343,-100.4419603,-100.4419603
4344,-100.4419603,-100.4419603
4345,-100.4419603,-100.4419603
4346,-100.4419603,-100.4419603
4347,-100.4419603,-100.4419603
4348,-100.4419603,-100.4419603
4349,-100.4419603,-100.4419603
4350,-100.4419603,-100.4419603
4351,-100.4419603,-100.4419603
4352,-100.4419603,-100.4419603
4353,-100.4419603,-100.4419603
4354,-100.4419603,-100.4419603
4355,-100.4419603,-100.4419603
4356,-100.4419603,-100.4419603
4357,-100.4419603,-100.4419603
4358,-100.4419603,-100.4419603
4359,-100.1473393,-100.1473393
4360,-100.1473393,-100.1473393
4361,-100.1473393,-100.1473393
4362,-100.1473393,-100.1473393
4363,-100.1473393,-100.1473393
4364,-100.1473393,-100.1473393
4365,-100.1473393,-100.1473393
4366,-100.1473393,-100.1473393
4367,-100.1473393,-100.1473393
4368,-100.1473393,-100.1473393
4369,-100.1473393,-100.1473393
4370,-100.1473393,-100.1473393
4371,-100.1473393,-100.1473393
4372,-100.1473393,-100.1473393
4373,-101.2139489,-101.2139489
4374,-101.2139489,-101.2139489
